published_at,ticker,title,desc,url,source,sentiment,sentiment_score
2024-05-21 20:35:10+00:00,META,"TransAlta : Achieves Commercial Operation of 200 MW Horizon Hill Wind Facility, increasing its United States Renewables Fleet to over 1 GW","TransAlta Achieves Commercial Operation of 200 MW Horizon Hill Wind Facility, increasing its United States Renewables Fleet to over 1 GW
    
    
      CALGARY, Alberta, May 21, 2024  --...",https://www.marketscreener.com/quote/stock/TRANSALTA-CORPORATION-1411860/news/TransAlta-Achieves-Commercial-Operation-of-200-MW-Horizon-Hill-Wind-Facility-increasing-its-Unite-46787370/,marketscreener.com,,
2024-05-21 18:26:33+00:00,META,"Parallel Universes? AI, Energy, And Chips",The demand for AI-related initiatives is expected to drive data center power demand significantly by 2030. Read why this will require large investment in new energy generation capacity.,https://seekingalpha.com/article/4694825-parallel-universes-ai-energy-and-chips,seekingalpha.com,,
2024-05-21 17:40:43+00:00,META,Apple Takes Steps Toward Asking Court to Dismiss US Antitrust Case,"(Bloomberg) -- Apple Inc. plans to ask a court to throw out the Justice Department’s antitrust case against the iPhone maker, making a long-shot bid to ward off what promises to be a lengthly legal battle.Most Read from BloombergOne Dead After Singapore Air Flight Hit By Severe TurbulenceASML, TSMC Can Disable Chip Machines If China Invades TaiwanHims Debuts $199 Weight-Loss Shots at 85% Discount to WegovyTesla Shareholder Group Slams Elon Musk’s $56 Billion Pay PackageJamie Dimon Says Successio",https://finance.yahoo.com/news/apple-takes-steps-toward-asking-174043718.html?.tsrc=rss,finance.yahoo.com,,
2024-04-21 23:46:53+00:00,META,US stock futures rise after two weeks of bruising losses By Investing.com,US stock futures rise after two weeks of bruising losses,https://www.investing.com/news/stock-market-news/us-stock-futures-rise-after-two-weeks-of-bruising-losses-3387721,investing.com,,
2024-04-21 23:39:44+00:00,META,Asian Traders Await Key Data; US Futures Climb: Markets Wrap,Asian markets were set for a muted open Monday as focus shifts to a slew of company earnings and economic data this week for insight into the direction of…,https://financialpost.com/pmn/business-pmn/asian-traders-await-key-data-us-futures-climb-markets-wrap,financialpost.com,,
2024-04-21 22:45:19+00:00,META,Magnificent Seven’s weekly market-cap loss sets a record as a result of Nvidia’s stock decline.,"This week, Nvidia’s market-cap losses greatly outpaced rival AMD’s total market worth.,This week’s drop in the market capitalizations of the “Magnificent Seven” stocks erased a cumulative $950…",https://medium.com/@jorgeacevedoarnaldo/magnificent-sevens-weekly-market-cap-loss-sets-a-record-as-a-result-of-nvidia-s-stock-decline-9eba626818db,medium.com,,
2024-09-18 22:08:00+00:00,TSLA,Has Nvidia Stock Peaked? These Words From the CEO May Suggest What's Next,"Shares of Nvidia have soared almost 800% over the last two years, but can the company keep its growth up?",https://finance.yahoo.com/news/nvidia-stock-peaked-words-ceo-220800817.html,finance.yahoo.com,,
2024-09-18 21:52:19+00:00,TSLA,Tesla's iTaxi Moment (NASDAQ:TSLA),"Tesla is caught between two growth cycles, and Robotaxi should be the next key driver. Learn more on TSLA stock here.",https://seekingalpha.com/article/4721954-tesla-itaxi-moment,seekingalpha.com,,
2024-09-18 21:15:47+00:00,TSLA,S&P 500 Gains and Losses Today: ResMed Drops as Weight-Loss Drugs Threaten Demand,"The S&P 500 ended 0.3% lower on Wednesday, Sept. 18, 2024, as the Federal Reserve announced its first interest-rate cut since March 2020.",https://www.investopedia.com/s-and-p-500-gains-and-losses-today-resmed-drops-as-weight-loss-drugs-threaten-demand-8714608,investopedia.com,,
2024-08-19 23:02:09+00:00,TSLA,"The Singing Machine Company, Inc. (MICS) Q2 2024 Earnings Call Transcript","The Singing Machine Company, Inc. (NASDAQ:NASDAQ:MICS) Q2 2024 Earnings Conference Call August 19, 2024 4:00 PM ETCompany ParticipantsGary Atkinson - Chief...",https://seekingalpha.com/article/4715733-singing-machine-company-inc-mics-q2-2024-earnings-call-transcript,seekingalpha.com,,
